disasterNumber,damagedCity,damagedStateAbbreviation,damagedZipCode,householdComposition,grossIncome,specialNeeds,ownRent,residenceType,homeOwnersInsurance,floodInsurance,inspected,rpfvl,habitabilityRepairsRequired,destroyed,waterLevel,floodDamage,foundationDamage,foundationDamageAmount,roofDamage,roofDamageAmount,tsaEligible,tsaCheckedIn,rentalAssistanceEligible,rentalAssistanceAmount,repairAssistanceEligible,repairAmount,replacementAssistanceEligible,replacementAmount,sbaEligible,renterDamageLevel,rentalAssistanceEndDate,rentalResourceCity,rentalResourceStateAbbreviation,rentalResourceZipCode,primaryResidence,personalPropertyEligible,ppfvl,censusBlockId,censusYear,id
4337,WINTER HAVEN,FL,33881,1,,False,Renter,House/Duplex,False,False,False,,,False,,False,False,,False,,False,False,False,,False,,False,,False,,,,,,True,False,,121050134003047,2017,5c12d8dbf2238e6fe40c7f88
4337,MIAMI GARDENS,FL,33055,1,14000.0,False,Renter,House/Duplex,False,False,False,,,False,,False,False,,False,,False,False,False,,False,,False,,False,,,,,,True,False,,120860100091025,2017,5c12d8dbf2238e6fe40c7f08
4337,CORAL GABLES,FL,33134,1,30000.0,False,Owner,Other,False,False,False,,,False,,False,False,,False,,False,False,False,,False,,False,,False,,,,,,True,False,,120860058013011,2017,5c12d8dbf2238e6fe40c7f3f
4337,KEY LARGO,FL,33037,2,55000.0,False,Owner,House/Duplex,True,False,False,,,False,,False,False,,False,,True,False,False,,False,,False,,False,,,,,,True,False,,120879705003006,2017,5c12d8dbf2238e6fe40c7f4d
4337,CLEARWATER,FL,33764,1,11916.0,False,Renter,Condo,False,False,False,,,False,,False,False,,False,,True,False,False,,False,,False,,False,,,,,,True,False,,121030254152011,2017,5c12d8dbf2238e6fe40c7f4c
4337,CAPE CORAL,FL,33909,2,38000.0,False,Renter,House/Duplex,False,False,False,,,False,,False,False,,False,,False,False,False,,False,,False,,False,,,,,,True,False,,120710102032008,2017,5c12d8dbf2238e6fe40c7edc
4337,DEERFIELD BEACH,FL,33441,1,20000.0,False,Owner,House/Duplex,True,False,False,,,False,,False,False,,False,,True,False,False,,False,,False,,False,,,,,,True,False,,120110103052000,2017,5c12d8dbf2238e6fe40c7f43
4337,MIAMI,FL,33185,2,18000.0,False,Renter,Other,False,False,False,,,False,,False,False,,False,,True,False,False,,False,,False,,False,,,,,,True,False,,120860152001048,2017,5c12d8dbf2238e6fe40c7eea
4337,FORT LAUDERDALE,FL,33311,1,8820.0,False,Renter,Apartment,False,False,False,,,False,,False,False,,False,,False,False,False,,False,,False,,False,,,,,,True,False,,120110415002006,2017,5c12d8dbf2238e6fe40c7f51
4337,JACKSONVILLE,FL,32244,1,16000.0,False,Renter,Townhouse,False,False,False,,,False,,False,False,,False,,False,False,False,,False,,False,,False,,,,,,True,False,,120310134021007,2017,5c12d8dbf2238e6fe40c7f7e
4337,CUTLER BAY,FL,33189,2,112000.0,False,Owner,House/Duplex,True,True,False,,,False,,False,False,,False,,False,False,False,,False,,False,,False,,,,,,True,False,,120860106125008,2017,5c12d8dbf2238e6fe40c7f8d
4337,LAUDERHILL,FL,33319,1,28000.0,False,Renter,Apartment,False,False,False,,,False,,False,False,,False,,True,False,False,,False,,False,,False,,,,,,True,False,,120110601241000,2017,5c12d8dbf2238e6fe40c7ee5
4337,HASTINGS,FL,32145,1,,False,Owner,House/Duplex,False,False,False,,,False,,False,False,,False,,False,False,False,,False,,False,,False,,,,,,True,False,,121090211012076,2017,5c12d8dbf2238e6fe40c7f35
4337,HOMESTEAD,FL,33032,3,50000.0,False,Owner,House/Duplex,True,True,False,,,False,,False,False,,False,,False,False,False,,False,,False,,False,,,,,,True,False,,120860107031007,2017,5c12d8dbf2238e6fe40c7f5c
4337,VERO BEACH,FL,32968,4,13000.0,False,Owner,House/Duplex,False,False,False,,,False,,False,False,,False,,False,False,False,,False,,False,,False,,,,,,True,False,,120610507031023,2017,5c12d8dbf2238e6fe40c7f2f
4337,TAMPA,FL,33647,1,38000.0,False,Renter,Condo,False,False,True,,,False,0.0,False,False,,False,,True,False,False,,False,,False,,False,,,,,,True,False,0.0,120570102101000,2017,5c12d8dbf2238e6fe40c7f39
