Parcel Id,Address,roof cover,Stories,Disaster Permit,Permit Description,Demand Value,Value,Year Built
a8337b5f-ac7d-4840-939c-fadb07fc016c,202 SAILFISH ROCKPORT  ARANSAS COUNTY TX,ASPHALT SHINGLES,1,False,None,133.0,50.0,2001
27f06ac6-dd0c-48e5-851d-0ffcd84d2e52,199 SAILFISH ROCKPORT  ARANSAS COUNTY TX,ASPHALT SHINGLES,1,False,None,133.0,20.0,1976
8035c3e2-ad5e-41c7-bc34-12ceee17c007,208 SAILFISH DRIVE ROCKPORT ARANSAS COUNTY TX,ASPHALT SHINGLES,1,False,None,133.0,100.0,2004
a3b208e9-8178-48e4-8391-f64ca71fb476,197 SAILFISH DRIVE ROCKPORT ARANSAS COUNTY TX,ASPHALT SHINGLES,1,False,None,133.0,100.0,1981
096459f7-0523-463e-beb2-f493a670f6e8,196 SAILFISH DRIVE ROCKPORT ARANSAS COUNTY TX,ASPHALT SHINGLES,1,False,None,133.0,90.0,1968
97eae5c3-4e63-41ac-824e-fbe45943af65,195 SAILFISH DRIVE ROCKPORT ARANSAS COUNTY TX,ASPHALT SHINGLES,1,False,None,133.0,10.0,1985
39af391a-cb8c-4ffb-b9f9-406cb39988e1,213 SAILFISH ROCKPORT  ARANSAS COUNTY TX,ASPHALT SHINGLES,1,False,None,133.0,40.0,1973
16b08eab-7954-4733-88f3-026428b84b22,226 WEST FOREST OAK LN ROCKPORT ARANSAS COUNTY TX,ASPHALT SHINGLES,1,False,None,133.0,80.0,2005
44d1e366-568a-40b9-80c8-2bb989958d8c,147 W PIN OAK LN ROCKPORT ARANSAS COUNTY TX,ASPHALT SHINGLES,1,False,None,133.0,80.0,2010
c9fd3b15-3a6a-4e06-9be7-400d4eafdde9,128 SUN HARBOR ST ROCKPORT ARANSAS COUNTY TX,ASPHALT SHINGLES,1,False,None,133.0,20.0,2008
64ab1a18-72bb-491f-94ca-4a0e0d4d8253,122 SUN HARBOR ST ROCKPORT ARANSAS COUNTY TX,ASPHALT SHINGLES,1,False,None,133.0,10.0,2008
011ad6db-b53e-4d4e-a43e-22424f4dec43,116 SUN HARBOR ST ROCKPORT ARANSAS COUNTY TX,ASPHALT SHINGLES,1,False,None,133.0,10.0,2008
3c8c32e4-c25d-4c44-ae1b-604aefe622bb,110 SUN HARBOR ST ROCKPORT ARANSAS COUNTY TX,ASPHALT SHINGLES,1,False,None,133.0,30.0,2007
8a51a15b-6912-4a8e-bac8-67d0449a2751,106 SUN HARBOR ST ROCKPORT ARANSAS COUNTY TX,ASPHALT SHINGLES,1,False,None,133.0,20.0,2007
1ad595a6-726a-461f-8585-b6be6a98ea1a,101 SUN HARBOR ST ROCKPORT ARANSAS COUNTY TX,ASPHALT SHINGLES,1,False,None,133.0,40.0,2007
9409ef6e-22f9-4ad3-8358-1dd9e54cc828,107 SUN HARBOR ST ROCKPORT ARANSAS COUNTY TX,ASPHALT SHINGLES,1,False,None,133.0,50.0,2007
ca608350-6fdd-4499-b1ca-4b8f7ff86a9d,112 SUN HARBOR ST ROCKPORT ARANSAS COUNTY TX,ASPHALT SHINGLES,1,False,None,133.0,30.0,2007
0c52a3a1-7825-4ecf-b754-06ccce07691b,124 SUN HARBOR ST ROCKPORT ARANSAS COUNTY TX,ASPHALT SHINGLES,1,False,None,133.0,20.0,2008
66a91bd7-20ff-46c5-8ce9-c1d463fef50f,133 SUN HARBOR ST ROCKPORT ARANSAS COUNTY TX,ASPHALT SHINGLES,1,False,None,133.0,30.0,2007
c53a3793-c652-41f6-bc71-221bab9fd43a,119 CAPTAINS BAY ROCKPORT ARANSAS COUNTY TX,ASPHALT SHINGLES,1,False,None,133.0,10.0,2012
da1fb55a-2c2f-4311-9500-6edfde984152,113 CAPTAINS BAY DR ROCKPORT ARANSAS COUNTY TX,ASPHALT SHINGLES,1,False,None,133.0,0.0,2012
