04301-001-000,510  FORTNER AVE   MEXICO BEACH 32410,"['19MB-RB0396', '19MB-RR0319', '18-3848', '93080719', '71780679']"
04305-000-000,111  5TH ST   MEXICO BEACH 32410,"['18-0067', '18-3834', '17-3731', '17-3671']"
04307-000-000,512  FORTNER AVE   MEXICO BEACH 32410,"['20MB-RR0039', '9503261']"
04308-000-000,122  6TH ST   MEXICO BEACH 32410,"['15-2939', '15-2940', '15-2938', '9705505']"
04309-000-000,124  6TH ST   MEXICO BEACH 32410,"['20MB-RR0031', 'B104', 'B1233', '9602976', '9602976', '9602976', '21911']"
04311-000-000,508  FORTNER AVE   MEXICO BEACH 32410,"['18-3994', '99-01911', '926322', '926323']"
04312-020-000,123  5TH ST   MEXICO BEACH 32410,"['RF1390', '9608232', '9507299']"
04312-030-000,121  5TH ST   MEXICO BEACH 32410,"['15101023', '9806017']"
04314-000-000,600  HWY 98    MEXICO BEACH 32410,"['19MB-RB0375', '18-0106', 'RF-1914']"
04314-010-000,602  HWY 98    MEXICO BEACH 32410,"['18MB-RB0069', '17-3538', '17-3468', '17-3381', '16-3259']"
04315-000-000,604  HWY 98    MEXICO BEACH 32410,"['19-0282', '18MB-RB0080', '16-3097', '13-2378', '9507436']"
04316-000-000,606  HWY 98    MEXICO BEACH 32410,"['19MB-DEM0240', '13-2386', 'B664', 'B311', '9211832', '9211955']"
04319-000-000,614  HWY 98 AVE   MEXICO BEACH 32456,"['18-0033', '17-3524', '16-3162', '14-2700']"
04325-000-000,613  FORTNER AVE   MEXICO BEACH 32410,"['19MB-RB0397', '19MB-RR0085', '0505105', '9807404']"
04326-000-000,612  OLEANDER AVE   MEXICO BEACH 32410,"['18-0077', '21669']"
04327-000-000,609  FORTNER AVE   MEXICO BEACH 32410,['11480731']
04327-010-000,607  FORTNER AVE   MEXICO BEACH 32410,"['19MB-RR0327', '19MB-RB0341', '14-2642', '13-2246', '3068']"
04328-000-000,115  6TH ST   MEXICO BEACH 32410,"['18MB-DEM0043', '18MB-RB0079', '18MB-RR0189', '9600263']"
04329-000-000,113  6TH ST   MEXICO BEACH 32410,"['20MB-RB0149', '19MB-RR0203', '12-2085', 'B1327', '9401068']"
04331-000-000,604  FORTNER AVE   MEXICO BEACH 32410,"['19MB-RR0231', '18MB-RR0145', '18-0081', '10610971', '9603834', '9603834']"
04331-010-000,614  FORTNER AVE   MEXICO BEACH 32410,"['RF885', 'B0130']"
04332-000-000,121  6TH ST   MEXICO BEACH 32410,"['17-3451', '10169937', '238-0587', '9502013']"
04334-000-000,610  FORTNER AVE   MEXICO BEACH 32410,"['14-0113', '60290861', 'RF-1226', '9504975', '93-4419', '9211134', '926739']"
04335-000-000,608  FORTNER AVE   MEXICO BEACH 32410,['19MB-CR0030']
04336-000-000,700  HWY 98    MEXICO BEACH 32410,"['19-0281', '19MB-RB0226', '0133']"
04338-010-000,708  HWY 98    MEXICO BEACH 32410,"['19MB-CB0006', '19MB-CR0013', '9506749', '922552']"
04338-012-000,710  HWY 98    MEXICO BEACH 32410,"['19MB-CR0002', '18-0005', '9309805']"
04340-010-000,717  FORTNER AVE   MEXICO BEACH 32410,"['15-2886', '15-2831', '15-2782']"
04346-000-000,705  FORTNER AVE   MEXICO BEACH 32410,"['19MB-RB0263', '19MB-RR0073', '7-0499']"
04346-010-000,706  OLEANDER AVE   MEXICO BEACH 32410,"['19MB-RB0610', '19MB-RR0404', '19MB-RR0158', 'B544']"
04348-000-000,111  7TH ST   MEXICO BEACH 32410,"['20MB-RB0047', '04-110', '9612515', '9510658']"
04348-010-000,115  7TH ST   MEXICO BEACH 32410,"['19MB-RB0061', '14-2601', 'RF-1881', '9707319']"
04349-020-000,717  FLORIDA AVE   MEXICO BEACH 32410,"['19MB-RB0071', '19MB-RR0089', '14-2605', '9500265']"
04350-000-000,712  FORTNER AVE   MEXICO BEACH 32410,"['20MB-RR0058', '15-2781', 'B0348', '93-4953']"
04351-000-000,719  FORTNER AVE   MEXICO BEACH 32410,"['18MB-RR0137', '14-2581']"
04352-015-000,704  FORTNER AVE   MEXICO BEACH 32410,"['18MB-RR0144', 'MH-0299']"
04352-020-000,708  FLORIDA AVE   MEXICO BEACH 32410,"['19MB-SID0018', '19MB-RR0220', '31111171', '3451']"
04353-000-000,704  HWY 98    MEXICO BEACH 32410,"['19MB-CB0004', '16-3123']"
04353-001-000,704  HWY 98   1 MEXICO BEACH 32410,['18-0086']
04353-002-000,704  HWY 98   2 MEXICO BEACH 32410,['18-0087']
04353-003-000,704  HWY 98   3 MEXICO BEACH 32410,['18-0088']
04353-004-000,704  HWY 98   4 MEXICO BEACH 32410,['18-0089']
04353-005-000,704  HWY 98   5 MEXICO BEACH 32410,['Q8-0090']
04353-006-000,704  HWY 98   6 MEXICO BEACH 32410,['18-0091']
04353-007-000,704  HWY 98   7 MEXICO BEACH 32410,['18-0092']
04353-008-000,704  HWY 98   8 MEXICO BEACH 32410,"['19MB-RB0444', '18-0093']"
04353-009-000,704  HWY 98   9 MEXICO BEACH 32410,['18-0094']
04362-000-000,103  16TH ST   MEXICO BEACH 32410,"['20MB-RB0023', '20MB-RB0024', '19MB-RB0472', '19MB-RR0351', '16-3091', '13-2405', 'B-1577', '3073', '9103103']"
04363-000-000,105  16TH ST N  MEXICO BEACH 32410,"['17-3546', '2734']"
04365-000-000,109  16TH ST   MEXICO BEACH 32410,"['19MB-RB0370', '19MB-RB0529', '12-2087']"
04366-000-000,111  16TH ST   MEXICO BEACH 32410,"['18MB-RB0087', '18MB-RR0231']"
04367-000-000,113  16TH ST   MEXICO BEACH 32410,"['20MB-RB0260', '19MB-RB0520', '19MB-RB0464', '19MB-RR0338', '19MB-RR0339', '19MB-RR0340', 'B2004', '9513901', '9404922']"
04377-000-000,109  15TH ST   MEXICO BEACH 32410,"['19MB-RB0184', '19MB-RR0223', 'RF-1668', 'B01260']"
04377-010-000,111  15TH ST   MEXICO BEACH 32410,"['19-0322', '15-2760', '14-2595', '9607646']"
04378-000-000,115  15TH ST N  MEXICO BEACH 32410,"['19MB-RB0008', '19MB-RR0020', '60290860', '52180649', 'RF318', '918453']"
04379-010-000,114  16TH ST   MEXICO BEACH 32456,"['19MB-RR0345', '16-3185', '14-2646', '14-2563', '99-01368', '924994', '924350', '912993']"
04381-010-000,119  15TH ST   MEXICO BEACH 32410,"['17-3653', '2560151']"
