Parcel Id,Address,Use Code,Square Footage,Stories,Year Built,Occupancy,Exterior Walls,Roof Cover,Interior Walls,Frame Type,Floor Cover,Unit No,Floor,Living Area,Number of Bedrooms,Number of Bathrooms,Permit Number,Latitude,Longitude,Condo Bldg,Disaster Permit,Disaster Permit Type,Disaster Permit Description
12979-000-000,101 23RD ST E PANAMA CITY 32405,FINANCIAL (002300),18350,3,1984,BANK,REINF CONC,POLY TPO,DRYWALL,STEEL,HARDTILE; CARPET,,,,,,,30.190486,-85.658049,,FALSE,,
12969-030-000,909 23RD ST E PANAMA CITY 32405,FINANCIAL (002300),4895,1,1994,BANK,PRECAST PN,POLY TPO,DRYWALL,REIN CONC,CARPET,,,,,,,30.190343,-85.644586,,FALSE,,
12888-010-000,2615 HWY 77 PANAMA CITY 32405,FINANCIAL (002300),3397,1,2013,BANK,COMMON BRK,ENG SHINGL,DRYWALL,WOOD FRAME,CARPET,,,,,,,30.195228,-85.650564,,FALSE,,
12872-000-000,2713 HWY 77 PANAMA CITY 32405,FINANCIAL (002300),6656,1,2019,BANK,CB STUCCO; COMMON BRK,POLY TPO,DRYWALL,WOOD FRAME,CLAY TILE; CARPET,,,,,,,30.197202,-85.650407,,FALSE,,
12869-000-000,2718 HWY 77 PANAMA CITY 32405,FINANCIAL (002300),11461,1,1980,BANK,COMMON BRK,STAND SEAM,DRYWALL,MASONARY,CLAY TILE; CARPET,,,,,,,30.198085,-85.649142,,FALSE,,
12855-005-020,2694 HWY 77 PANAMA CITY 32405,FINANCIAL (002300),3963,1,2008,BANK,CONC BLOCK; WD FR STUC,MODULAR MT,DRYWALL,WOOD FRAME,CLAY TILE; CARPET,,,,,,,30.195996,-85.64917,,FALSE,,
12855-005-020,2694 HWY 77 PANAMA CITY 32405,FINANCIAL (002300),6328,1,2008,STORE RETL,CONC BLOCK; WD FR STUC,MODULAR MT,DRYWALL,WOOD FRAME,CLAY TILE; CARPET,,,,,,,30.195996,-85.64917,,FALSE,,
11450-020-080,4295 HWY 231 PANAMA CITY 32404,FINANCIAL (002300),3713,1,2015,BRNCH BANK,COMMON BRK,STAND SEAM,DRYWALL,WOOD FRAME,CLAY TILE; CARPET,,,,,,,30.225364,-85.591223,,FALSE,,
04372-000-000,101 15TH ST MEXICO BEACH 32410,FINANCIAL (002300),2366,1,2020,BRNCH BANK,ABOVE AVE,STAND SEAM,DRYWALL,WOOD FRAME,VINYL PLNK,,,,,,,29.940912,-85.407261,,FALSE,,
33750-190-000,200 PIER PARK DR S PANAMA CITY BEACH 32413,DEPARTMENT (001300),128462,1,2008,STORE DEPT,PRECAST PN,MODULAR MT,DECORATIVE,MASONARY,CLAY TILE; CARPET,,,,,,,30.3103,-85.905314,,FALSE,,
33750-170-000,206 BLUEFISH DR PANAMA CITY BEACH 32413,DEPARTMENT (001300),85810,1,2008,STORE DEPT,CONC BLOCK; PRECAST PN,MODULAR MT; STAND SEAM,DECORATIVE,MASONARY,CLAY TILE; CARPET,,,,,,,30.21886,-85.871588,,FALSE,,
14405-070-000,2000 MLK BLVD PANAMA CITY 32405,DEPARTMENT (001300),90781,1.5,1982,STORE DEPT,COMMON BRK; PRECAST PN,POLY TPO,PLYWOOD; DRYWALL,STEEL,CORK/VTILE; CARPET,,,,,,,30.187477,-85.646134,,FALSE,,
14405-050-000,2298 MLK BLVD PANAMA CITY 32405,DEPARTMENT (001300),142912,1,1976,STORE DEPT,PRECAST PN,BUILT-UP,DRYWALL,STEEL,CORK/VTILE; CARPET,,,,,,,30.188234,-85.648349,,FALSE,,
14405-050-000,2298 MLK BLVD PANAMA CITY 32405,DEPARTMENT (001300),28240,2,1976,OFFICE LOW,AVERAGE,BUILT-UP,DRYWALL,,CARPET,,,,,,,30.188234,-85.648349,,FALSE,,
14405-040-000,733 HWY 231 PANAMA CITY 32405,DEPARTMENT (001300),122423,1,1976,STORE DEPT,COMMON BRK; PRECAST PN,BUILT-UP,PLYWOOD; DRYWALL,REIN CONC,CORK/VTILE; CARPET,,,,,,,30.185175,-85.648862,,FALSE,,
14405-040-000,733 HWY 231 PANAMA CITY 32405,DEPARTMENT (001300),24693,1,1976,VEH SALE/R,COMMON BRK; PRECAST PN,BUILT-UP,PLYWOOD; DRYWALL,REIN CONC,CONC FINSH; CORK/VTILE,,,,,,,30.185175,-85.648862,,FALSE,,
12855-005-000,2610 HWY 77 PANAMA CITY 32405,DEPARTMENT (001300),99662,1,2007,STORE DEPT,PRECAST PN,POLY TPO,DECORATIVE,MASONARY,CARPET; VINYL PLNK,,,,,,,30.195072,-85.649167,,FALSE,,
21084-000-000,615 BONITA AVE N PANAMA CITY 32401,HOSPITALS (008500),43055,3,1949,HOSPITAL,CB STUCCO,BUILT-UP,DRYWALL,REIN CONC,HARDTILE,,,,,,,30.159663,-85.649014,,FALSE,,
