ID,Lat,,Vg_mph,Vsus_mph,Lon
140184,25.93,97.360001,44.56,34.64,-97.360001
140185,25.93,97.370003,44.34,34.47,-97.370003
140186,25.940001,97.150002,49.41,38.65,-97.150002
140187,25.940001,97.160004,49.17,38.6,-97.160004
140188,25.940001,97.169998,48.95,38.41,-97.169998
140189,25.940001,97.18,49.44,38.93,-97.18
140190,25.940001,97.190002,48.51,37.74,-97.190002
140191,25.940001,97.199997,48.27,37.55,-97.199997
140192,25.940001,97.209999,48.04,37.37,-97.209999
140193,25.940001,97.220001,47.81,37.19,-97.220001
140194,25.940001,97.230003,47.58,37.01,-97.230003
140195,25.940001,97.239998,47.35,36.83,-97.239998
140196,25.940001,97.25,47.12,36.65,-97.25
140197,25.940001,97.260002,46.89,36.47,-97.260002
140198,25.940001,97.269997,46.67,36.29,-97.269997
140199,25.940001,97.279999,46.44,36.12,-97.279999
140200,25.940001,97.290001,46.23,35.95,-97.290001
140201,25.940001,97.300003,46.01,35.78,-97.300003
140202,25.940001,97.309998,45.79,35.61,-97.309998
140203,25.940001,97.32,45.57,35.44,-97.32
140204,25.940001,97.330002,45.36,35.27,-97.330002
140205,25.940001,97.339996,45.13,35.09,-97.339996
140206,25.940001,97.349998,44.9,34.91,-97.349998
140207,25.940001,97.360001,44.67,34.73,-97.360001
140208,25.940001,97.370003,44.46,34.56,-97.370003
140209,25.940001,97.379997,44.25,34.4,-97.379997
140210,25.950001,97.150002,50.41,39.72,-97.150002
140211,25.950001,97.160004,50.22,39.63,-97.160004
140212,25.950001,97.169998,50.15,39.72,-97.169998
140213,25.950001,97.18,49.98,39.68,-97.18
140214,25.950001,97.190002,49.88,39.76,-97.190002
140215,25.950001,97.199997,49.7,39.71,-97.199997
140216,25.950001,97.209999,49.4,39.44,-97.209999
140217,25.950001,97.220001,47.94,37.3,-97.220001
140218,25.950001,97.230003,47.71,37.11,-97.230003
140219,25.950001,97.239998,47.49,36.94,-97.239998
140220,25.950001,97.25,47.26,36.76,-97.25
140221,25.950001,97.260002,47.03,36.58,-97.260002
140222,25.950001,97.269997,46.81,36.4,-97.269997
140223,25.950001,97.279999,46.58,36.23,-97.279999
140224,25.950001,97.290001,46.35,36.05,-97.290001
140225,25.950001,97.300003,46.13,35.87,-97.300003
140226,25.950001,97.309998,45.91,35.7,-97.309998
140227,25.950001,97.32,45.69,35.53,-97.32
140228,25.950001,97.330002,45.47,35.36,-97.330002
140229,25.950001,97.339996,45.26,35.19,-97.339996
140230,25.950001,97.349998,45.03,35.01,-97.349998
140231,25.950001,97.360001,44.8,34.83,-97.360001
140232,25.950001,97.370003,44.58,34.65,-97.370003
140233,25.950001,97.379997,44.36,34.49,-97.379997
140234,25.959999,97.150002,50.73,40.09,-97.150002
140235,25.959999,97.160004,50.65,40.17,-97.160004
140236,25.959999,97.169998,50.55,40.23,-97.169998
140237,25.959999,97.18,50.47,40.35,-97.18
140238,25.959999,97.190002,50.36,40.42,-97.190002
140239,25.959999,97.199997,50.4,40.74,-97.199997
140240,25.959999,97.209999,50.64,41.38,-97.209999
140241,25.959999,97.220001,51.76,43.19,-97.220001
140242,25.959999,97.239998,50.53,41.77,-97.239998
140243,25.959999,97.25,47.39,36.86,-97.25
140244,25.959999,97.260002,47.17,36.69,-97.260002
140245,25.959999,97.269997,46.95,36.52,-97.269997
140246,25.959999,97.279999,46.73,36.34,-97.279999
140247,25.959999,97.290001,46.48,36.15,-97.290001
140248,25.959999,97.300003,46.24,35.96,-97.300003
140249,25.959999,97.309998,46.02,35.79,-97.309998
140250,25.959999,97.32,45.8,35.62,-97.32
140251,25.959999,97.330002,45.59,35.45,-97.330002
140252,25.959999,97.339996,45.38,35.28,-97.339996
140253,25.959999,97.349998,45.16,35.11,-97.349998
140254,25.959999,97.360001,44.94,34.94,-97.360001
140255,25.959999,97.370003,44.71,34.76,-97.370003
140256,25.959999,97.379997,44.48,34.58,-97.379997
140257,25.959999,97.389999,44.31,34.45,-97.389999
140258,25.969999,97.150002,51.12,40.58,-97.150002
140259,25.969999,97.160004,51.03,40.65,-97.160004
140260,25.969999,97.169998,50.99,40.81,-97.169998
140261,25.969999,97.18,50.99,41.07,-97.18
140262,25.969999,97.190002,51.18,41.64,-97.190002
140263,25.969999,97.199997,52.5,43.79,-97.199997
140264,25.969999,97.25,48.41,38.34,-97.25
140265,25.969999,97.260002,47.32,36.8,-97.260002
140266,25.969999,97.269997,47.1,36.63,-97.269997
140267,25.969999,97.279999,46.86,36.45,-97.279999
140268,25.969999,97.290001,46.61,36.25,-97.290001
140269,25.969999,97.300003,46.37,36.06,-97.300003
140270,25.969999,97.309998,46.13,35.88,-97.309998
140271,25.969999,97.32,45.92,35.71,-97.32
140272,25.969999,97.330002,45.71,35.54,-97.330002
140273,25.969999,97.339996,45.49,35.38,-97.339996
140274,25.969999,97.349998,45.28,35.21,-97.349998
140275,25.969999,97.360001,45.07,35.04,-97.360001
140276,25.969999,97.370003,44.84,34.86,-97.370003
140277,25.969999,97.379997,44.62,34.69,-97.379997
140278,25.969999,97.389999,44.46,34.57,-97.389999
140279,25.98,97.150002,51.53,41.1,-97.150002
140280,25.98,97.160004,51.49,41.27,-97.160004
140281,25.98,97.169998,51.57,41.65,-97.169998
140282,25.98,97.18,51.9,42.43,-97.18
140283,25.98,97.190002,53.76,45.12,-97.190002
140284,25.98,97.209999,53.2,44.67,-97.209999
140285,25.98,97.25,48.7,38.7,-97.25
140286,25.98,97.260002,48.63,38.79,-97.260002
140287,25.98,97.269997,48.6,38.95,-97.269997
140288,25.98,97.279999,48.63,39.26,-97.279999
140289,25.98,97.290001,46.74,37.14,-97.290001
140290,25.98,97.300003,46.5,36.16,-97.300003
140291,25.98,97.309998,46.27,35.98,-97.309998
140292,25.98,97.32,46.04,35.8,-97.32
140293,25.98,97.330002,45.83,35.64,-97.330002
140294,25.98,97.339996,45.62,35.47,-97.339996
140295,25.98,97.349998,45.4,35.3,-97.349998
140296,25.98,97.360001,45.19,35.14,-97.360001
140297,25.98,97.370003,44.97,34.97,-97.370003
140298,25.98,97.379997,44.79,34.82,-97.379997
140299,25.98,97.389999,44.62,34.69,-97.389999
140300,25.99,97.150002,51.82,41.43,-97.150002
140301,25.99,97.160004,51.95,41.87,-97.160004
140302,25.99,97.169998,52.36,42.8,-97.169998
140303,25.99,97.18,56.55,47.29,-97.18
140304,25.99,97.239998,49.34,39.42,-97.239998
140305,25.99,97.25,48.98,39.04,-97.25
140306,25.99,97.260002,48.94,39.2,-97.260002
140307,25.99,97.269997,49.09,39.67,-97.269997
140308,25.99,97.279999,49.41,40.43,-97.279999
140309,25.99,97.300003,46.64,36.27,-97.300003
140310,25.99,97.309998,46.41,36.09,-97.309998
140311,25.99,97.32,46.18,35.91,-97.32
140312,25.99,97.330002,45.95,35.73,-97.330002
140313,25.99,97.339996,45.74,35.57,-97.339996
140314,25.99,97.349998,45.53,35.4,-97.349998
140315,25.99,97.360001,45.31,35.23,-97.360001
140316,25.99,97.370003,45.11,35.08,-97.370003
140317,25.99,97.379997,44.95,34.95,-97.379997
140318,25.99,97.389999,44.79,34.82,-97.389999
140319,26,97.160004,52.39,42.46,-97.160004
140320,26,97.169998,53.15,43.88,-97.169998
140321,26,97.220001,51.76,42.76,-97.220001
140322,26,97.25,51.65,43.1,-97.25
140323,26,97.260002,49.42,39.89,-97.260002
140324,26,97.269997,49.66,40.5,-97.269997
140325,26,97.279999,50.84,42.44,-97.279999
140326,26,97.290001,47.02,36.57,-97.290001
140327,26,97.300003,46.79,36.39,-97.300003
140328,26,97.309998,46.56,36.21,-97.309998
140329,26,97.32,46.32,36.02,-97.32
140330,26,97.330002,46.09,35.84,-97.330002
140331,26,97.339996,45.87,35.67,-97.339996
140332,26,97.349998,45.65,35.5,-97.349998
140333,26,97.360001,45.44,35.33,-97.360001
140334,26,97.370003,45.28,35.21,-97.370003
140335,26,97.379997,45.12,35.08,-97.379997
140336,26,97.389999,44.95,34.95,-97.389999
140337,26.01,97.220001,52.67,43.93,-97.220001
140338,26.01,97.260002,50.82,42.01,-97.260002
140339,26.01,97.269997,47.63,37.05,-97.269997
140340,26.01,97.279999,47.4,36.87,-97.279999
140341,26.01,97.290001,47.17,36.69,-97.290001
140342,26.01,97.300003,46.94,36.51,-97.300003
140343,26.01,97.309998,46.71,36.32,-97.309998
140344,26.01,97.32,46.47,36.14,-97.32
140345,26.01,97.330002,46.24,35.96,-97.330002
140346,26.01,97.339996,46,35.77,-97.339996
140347,26.01,97.349998,45.78,35.6,-97.349998
140348,26.01,97.360001,45.61,35.47,-97.360001
140349,26.01,97.370003,45.45,35.34,-97.370003
140350,26.01,97.379997,45.28,35.21,-97.379997
140351,26.01,97.389999,45.12,35.08,-97.389999
140352,26.02,97.160004,53.55,44.04,-97.160004
140353,26.02,97.260002,48.02,37.36,-97.260002
140354,26.02,97.269997,47.79,37.17,-97.269997
140355,26.02,97.279999,47.55,36.98,-97.279999
140356,26.02,97.290001,47.32,36.8,-97.290001
140357,26.02,97.300003,47.08,36.62,-97.300003
140358,26.02,97.309998,46.85,36.44,-97.309998
140359,26.02,97.32,46.62,36.26,-97.32
140360,26.02,97.330002,46.38,36.07,-97.330002
140361,26.02,97.339996,46.15,35.89,-97.339996
140362,26.02,97.349998,45.95,35.73,-97.349998
140363,26.02,97.360001,45.78,35.6,-97.360001
140364,26.02,97.370003,45.61,35.47,-97.370003
140365,26.02,97.379997,45.45,35.34,-97.379997
140366,26.030001,97.160004,55.5,46.52,-97.160004
140367,26.030001,97.169998,55.22,46.29,-97.169998
140368,26.030001,97.220001,51.97,42.71,-97.220001
140369,26.030001,97.239998,48.65,37.85,-97.239998
140370,26.030001,97.25,48.41,37.66,-97.25
140371,26.030001,97.260002,48.18,37.48,-97.260002
