BLDGID4,REGION4,CENDIV4,SQFTC4,PBA4,HTCNTL4,HTTHRM4,RDHTNF4,BOILER4,FURNAC4,SLFCON4,PKGHT4,HTPMPH4,DUCTHT4,REHEAT4,FNCLHT4,BBDRAD4,OTHTEQ4,OTHTQ14,CLCNTL4,CLTHRM4,RDCLNF4,CHILLR4,ACWNWL4,PKGCL4,HTPMPC4,DUCTCL4,FNCLCL4,OTCLEQ4,OTCLQ14,CHLYRC4,PKCYRC4,CFRIG4,CFRZR4,RFRIG4,RFRZR4,ICE4,SODA4,WTRCL4,OTREF4,OTREF14,PORVAC4,VAC3MP4,MONUSE4,YRCONC4,WLCNS4,RFCNS4,COMPRM4,GENER4,COGEN4,GRID4,PURPA4,FACIL4,PLANT4,BLDPLT4,ADJWT4,STRATUM4,PAIR4,ELSUPL4,NGSUPL4,FKSUPL4,STSUPL4,HWSUPL4,FACACT4,FACTSRC4
4503,4,8,7,4,1,2,1,1,2,2,2,2,1,2,1,2,2,,2,,1,1,1,1,2,1,1,2,,2,3,1,1,2,2,1,1,1,2,,2,0,12,5,3,4,1,2,,,,1,2,,336.81,7,2,1,1,2,2,2,11,3
4504,4,8,5,7,2,,1,1,1,2,2,1,1,1,1,2,2,,2,,1,1,1,1,1,1,1,2,,4,1,2,1,1,1,2,1,1,2,,2,0,12,4,4,4,1,2,,,,1,1,2,362.37,15,1,1,1,2,2,2,6,1
4505,3,7,2,14,2,,7,2,2,2,1,2,1,2,2,2,2,,2,,7,2,2,1,2,1,2,2,,,3,1,1,1,1,1,1,2,2,,2,0,12,6,4,5,2,2,,,,2,,,1472.34,10,1,1,1,2,2,2,,
4506,3,6,7,15,2,,2,1,2,2,2,2,1,1,1,1,2,,2,,2,1,1,1,2,1,1,2,,3,3,1,1,1,1,1,1,1,2,,2,0,12,6,3,4,1,2,,,,2,,,21.57,11,1,1,1,1,2,2,,
4507,3,5,3,3,1,1,2,2,2,2,2,1,2,2,2,2,2,,1,1,2,2,2,2,1,2,2,2,,,,2,2,1,2,2,2,1,2,,1,8,12,6,4,4,2,2,,,,2,,,626.97,6,1,1,2,2,2,2,,
4508,1,2,3,17,1,1,1,1,2,1,2,2,2,2,2,1,2,,,,,,,,,,,,,,,2,2,1,1,2,2,2,2,,2,0,12,3,4,2,2,2,,,,1,2,,1468.67,20,2,1,1,2,2,2,13,3
4509,2,3,6,5,1,1,1,2,2,2,1,2,2,2,2,2,2,,1,1,1,2,2,1,2,2,2,2,,,2,1,1,2,2,2,2,1,2,,1,10,12,5,4,4,2,2,,,,1,2,,21.19,14,1,1,1,2,2,2,5,3
4510,1,2,5,1,2,,1,1,2,1,2,2,1,2,2,2,2,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,,1,100,0,7,5,5,2,2,,,,1,2,,23.86,1,1,1,1,2,2,2,4,3
4511,2,3,8,2,2,,1,1,2,2,1,2,1,1,2,1,2,,2,,1,1,2,2,2,1,2,2,,1,,1,1,2,2,1,1,1,2,,1,2,12,4,7,7,2,2,,,,2,,,229.73,4,2,1,1,2,2,2,,
4512,4,9,2,2,2,,1,2,2,2,1,2,1,2,2,2,2,,2,,1,2,2,1,2,1,2,1,1,,4,1,1,2,2,2,2,2,2,,2,0,10,7,4,2,2,2,,,,1,2,,497.58,15,1,1,1,2,2,2,3,3
4513,2,3,5,3,2,,1,1,2,1,2,2,2,2,2,2,2,,2,,1,2,1,2,2,2,2,2,,,,1,2,1,2,2,2,2,2,,1,20,12,4,5,12,1,2,,,,2,,,474.3,15,1,1,1,2,2,2,,
4514,1,2,6,13,2,,1,1,2,2,2,2,1,1,1,1,1,95,1,1,1,2,1,2,2,2,2,2,,,,1,1,1,2,2,1,1,2,,2,0,12,4,4,6,1,2,,,,2,,,1.04,,0,1,3,1,2,2,,
4515,1,1,6,1,2,,2,2,2,1,2,2,2,2,2,2,2,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,,1,82,5,2,4,4,2,2,,,,2,,,157.78,11,1,1,2,1,2,2,,
4516,3,5,4,12,1,2,1,2,2,1,2,2,2,2,2,2,2,,1,2,1,2,1,2,2,2,2,2,,,,2,2,2,2,2,2,2,2,,1,50,12,1,4,4,2,2,,,,2,,,652.28,6,2,1,1,2,2,2,,
4517,3,7,2,3,2,,1,2,2,1,2,2,2,2,2,2,2,,2,,1,2,1,1,2,1,2,2,,,4,2,2,2,2,2,1,1,2,,2,0,12,6,6,5,2,2,,,,2,,,2650.99,20,1,1,2,2,2,2,,
4518,1,2,7,3,1,1,2,2,2,1,1,2,1,1,2,2,2,,1,1,1,1,1,1,2,1,2,2,,5,5,1,1,1,2,1,2,1,2,,1,25,12,9,4,6,1,2,,,,2,,,10.09,8,1,1,1,1,2,2,,
4519,2,3,7,13,2,,1,1,2,2,2,2,1,1,1,1,1,95,2,,1,1,1,1,2,1,1,2,,3,3,1,1,1,2,1,1,1,2,,2,0,12,5,4,4,2,2,,,,1,1,1,306.28,19,1,1,1,3,2,2,2,1
4520,1,1,3,4,2,,1,2,1,2,2,2,1,1,2,2,2,,2,,1,2,2,1,2,1,2,2,,,3,2,2,2,2,2,2,2,2,,2,0,12,6,5,4,2,2,,,,1,2,,490.89,3,1,1,2,2,2,2,13,3
4521,2,3,4,4,1,1,1,2,2,1,1,2,1,2,2,2,2,,1,1,1,2,2,1,2,1,2,2,,,3,2,2,2,2,1,1,1,2,,2,0,12,6,4,3,2,2,,,,1,2,,10.74,17,1,1,1,2,2,2,5,3
4522,4,9,2,4,2,,1,2,2,2,1,1,1,2,2,2,2,,2,,1,2,2,1,1,1,2,2,,,4,2,2,1,2,2,2,1,2,,2,0,12,8,5,3,2,2,,,,1,2,,1654.84,15,2,1,2,2,2,2,13,3
4523,2,3,2,5,1,1,1,1,2,2,1,2,1,2,2,2,2,,1,1,7,2,1,1,2,2,2,2,,,3,1,2,2,2,2,2,2,2,,2,0,12,3,4,3,2,2,,,,2,,,1508.84,2,1,1,1,2,2,2,,
4524,3,7,2,13,2,,1,1,1,2,2,2,1,1,1,2,2,,2,,1,2,2,2,2,1,1,2,,,,2,2,1,2,2,2,2,2,,1,100,9,3,4,4,2,2,,,,1,1,2,1.02,,0,1,1,2,2,2,2,1
