Id,ParcelId,Address,OccupancyClass,PlanArea,NumberOfStories,YearBuilt,ExteriorWalls,RoofCover,InteriorWalls,FrameType,FloorCover,PermitNumber,PermitIssueDate,PermitType,PermitDescription,PermitAmount,Latitude,Longitude,RoofShape,LULC,County,FloodZone,DWSII,Garage,RoofSlope,AvgJanTemp,City,State,BldgHeight,HeightUnit,RoofReplaceYear,HazusGBM
818,32951-010-000,166 ESCANABA AVE PANAMA CITY BEACH 32413,SINGLE FAM (000100),1844,1.0,1993,WD FR STUC,ENG SHINGL,DRYWALL,NONE REPORTED,SHT VINYL; CARPET,['20081774'],['20080710'],['RERF'],['RE-ROOF'],['45'],30.231579,-85.878812,gab,0.03,BAY,V,166.5382839,1,0.166666667,above,PANAMA CITY BEACH,FL,6.7,m,1993,WSF1_gab_1_8d_strap_std_0_3
819,32946-000-000,188 ESCANABA AVE PANAMA CITY BEACH 32413,SINGLE FAM (000100),3158,1.0,2006,WD FR STUC,ENG SHINGL,DRYWALL,NONE REPORTED,CLAY TILE; CARPET,NONE REPORTED,NONE REPORTED,NONE REPORTED,NONE REPORTED,NONE REPORTED,30.231702,-85.880288,gab,0.03,BAY,V,166.5382839,1,0.166666667,above,PANAMA CITY BEACH,FL,6.7,m,2006,WSF1_gab_1_8s_strap_sup_1_3
820,32936-000-000,228 ESCANABA AVE PANAMA CITY BEACH 32413,SINGLE FAM (000100),2950,1.0,2015,VINYL; COMMON BRK,ENG SHINGL,DRYWALL,NONE REPORTED,CLAY TILE; CARPET,"['15-0039', '14-1380', '2006433']","['20150107', '20140716', '20060308']","['ROOF', 'NC', 'DEM']","['ROOF', 'SINGLE FAMILY', 'DEMOLITION']","['0', '180,000', '0']",30.232086,-85.883094,hip,0.03,BAY,V,133.0,1,0.166666667,above,PANAMA CITY BEACH,FL,6.7,m,2015,WSF1_hip_1_8s_strap_sup_1_3
821,32932-000-000,236 ESCANABA AVE PANAMA CITY BEACH 32413,SINGLE FAM (000100),4008,1.0,1993,CEDAR,ENG SHINGL,DRYWALL,NONE REPORTED,CARPET; HARDTILE,"['16-0517', '15-2009', '14-767', '42222', '1481', '1471', '925872']","['20160307', '20151113', '20140423', '20041018', '20040726', '20040722', '19921119']","['RENO', 'RERF', 'RERF', 'ADD', 'ADD', 'POOL', 'NC']","['SCREEN WALLS', 'RERF', 'RERF', 'ADDITION', 'ADDITION', 'POOLS', 'NEW CONST.']","['3,000', '0', '0', '12,800', '20,000', '26,750', '67,000']",30.232491,-85.883871,hip,0.03,BAY,V,166.5382839,0,0.166666667,above,PANAMA CITY BEACH,FL,6.7,m,1993,WSF1_hip_1_6d_strap_no_1_3
822,32928-000-000,244 ESCANABA AVE PANAMA CITY BEACH 32413,SINGLE FAM (000100),1895,1.0,1987,WD FR STUC,ENG SHINGL,DRYWALL,NONE REPORTED,SHT VINYL; CARPET,['202002223'],['20200818'],['RERF'],['RE-ROOF'],['0'],30.232887,-85.884619,gab,0.03,BAY,V,166.5382839,1,0.166666667,above,PANAMA CITY BEACH,FL,6.7,m,1987,WSF1_gab_1_8d_tnail_wkd_0_3
823,32927-000-000,246 ESCANABA AVE PANAMA CITY BEACH 32413,SINGLE FAM (000100),2046,1.0,1958,AVERAGE,ENG SHINGL,DRYWALL,NONE REPORTED,PINE WOOD; CARPET,"['16-0493', '7685', '915296']","['20160303', '19960613', '19910520']","['RERF', 'ROOF', 'POOL']","['RERF', 'ROOF', 'POOL']","['0', '2,890', '9,800']",30.232915,-85.884834,hip,0.03,BAY,V,166.5382839,1,0.166666667,above,PANAMA CITY BEACH,FL,6.7,m,1996,WSF1_hip_1_8d_tnail_wkd_0_3
824,32916-000-000,133 HALF ACRE LN PANAMA CITY BEACH 32413,SINGLE FAM (000100),2294,1.0,1997,WD FR STUC,ENG SHINGL,DRYWALL,NONE REPORTED,CLAY TILE; CARPET,"['1659', '9700834', '9601035']","['20010925', '19970605', '19960903']","['ADD', 'XTRA', 'NC']","['ADDITION', 'EXTRA FEAT', 'NEW CONST.']","['24,000', '11,000', '40,000']",30.230686,-85.882811,hip,0.03,BAY,V,166.5382839,1,0.166666667,above,PANAMA CITY BEACH,FL,6.7,m,1997,WSF1_hip_1_8d_strap_std_0_3
825,32915-010-000,127 HALF ACRE LN PANAMA CITY BEACH 32413,SINGLE FAM (000100),2276,1.0,1997,WD FR STUC,ENG SHINGL,DRYWALL,NONE REPORTED,CLAY TILE; CARPET,"['201048', '833', '7650']","['20100118', '19990505', '19960603']","['RERF', 'RENO', 'NC']","['RE-ROOF', 'RENOVATION', 'NEW CONST.']","['7,000', '15,000', '40,000']",30.230472,-85.882875,hip,0.03,BAY,V,166.5382839,1,0.166666667,above,PANAMA CITY BEACH,FL,6.7,m,1997,WSF1_hip_1_6d_strap_std_0_3
826,32912-000-000,115 HALF ACRE LN PANAMA CITY BEACH 32413,SINGLE FAM (000100),1851,1.0,1994,WD FR STUC,ENG SHINGL,DRYWALL,NONE REPORTED,CLAY TILE; CARPET,"['201803346', '2360', '5235']","['20181206', '20011227', '19940425']","['RERF', 'ADD', 'NC']","['RE ROOF', 'ADDITION', 'NEW CONST.']","['8,619', '2,279', '39,000']",30.229851,-85.883131,gab,0.03,BAY,V,166.5382839,1,0.166666667,above,PANAMA CITY BEACH,FL,6.7,m,1994,WSF1_gab_1_6d_strap_std_0_3
827,32911-050-000,111 HALF ACRE LN PANAMA CITY BEACH 32413,SINGLE FAM (000100),1885,1.0,2015,ABOVE AVG.,ENG SHINGL,DRYWALL,NONE REPORTED,CLAY TILE,NONE REPORTED,NONE REPORTED,NONE REPORTED,NONE REPORTED,NONE REPORTED,30.229693,-85.883194,hip,0.03,BAY,V,133.0,1,0.166666667,above,PANAMA CITY BEACH,FL,6.7,m,2015,WSF1_hip_1_8s_strap_sup_1_3
828,32911-000-000,109 HALF ACRE LN PANAMA CITY BEACH 32413,SINGLE FAM (000100),1934,1.0,2015,ABOVE AVG.,ENG SHINGL,DRYWALL,NONE REPORTED,CLAY TILE,"['15-1354', '15-1355', '15-1130', '15-1142']","['20150724', '20150724', '20150623', '20150623']","['ROOF', 'ROOF', 'NC', 'NC']","['ROOF', 'ROOF', 'SINGLE FAMILY', 'SINGLE FAMILY']","['0', '0', '220,715', '220,715']",30.229594,-85.883251,hip,0.03,BAY,V,133.0,1,0.166666667,above,PANAMA CITY BEACH,FL,6.7,m,2015,WSF1_hip_1_8s_strap_sup_1_3
829,32904-000-000,112 JEANETTE AVE PANAMA CITY BEACH 32413,SINGLE FAM (000100),1760,1.0,1990,COMMON BRK,ENG SHINGL,DRYWALL,NONE REPORTED,CARPET,"['XXXXXXX', '20057', '42227', '4926']","['20060201', '20050104', '20041018', '19900416']","['RENO', 'RENO', 'RERF', 'NC']","['RENOVATION', 'RENOVATION', 'RE-ROOF', 'NEW CONST.']","['9,000', '9,807', '0', '31,500']",30.230183,-85.883439,gab,0.03,BAY,V,166.5382839,1,0.166666667,above,PANAMA CITY BEACH,FL,6.7,m,1990,WSF1_gab_1_6d_tnail_wkd_0_3
